# from H. Marshall email 27 April 2007
#
#Optical depths as of 2002.69
#     Energy      Carbon       Oxygen       Fluorine     Fluffium
#                   0.02         0.20        0.10         0.20
      1.26751    0.0457678    0.0117858    0.0129369    0.0398065
      1.27730    0.0447504    0.0115425    0.0126559    0.0390636
      1.28709    0.0437711    0.0112992    0.0123908    0.0383242
      1.29688    0.0428486    0.0110730    0.0121313    0.0376381
      1.30667    0.0419261    0.0108534    0.0118717    0.0369519
      1.31646    0.0410036    0.0106339    0.0116122    0.0362658
      1.32625    0.0401645    0.0104184    0.0113646    0.0356003
      1.33604    0.0393327    0.0102193    0.0111263    0.0350168
      1.34583    0.0385009    0.0100202    0.0108880    0.0344333
      1.35562    0.0376892   0.00982116    0.0106498    0.0338498
      1.36541    0.0369380   0.00963168    0.0104296    0.0332663
      1.37520    0.0361867   0.00945221    0.0102121    0.0326828
      1.38498    0.0354355   0.00927273   0.00999459    0.0321245
      1.39477    0.0347370   0.00909326   0.00977709    0.0315861
      1.40456    0.0340543   0.00892326   0.00957890    0.0310478
      1.41435    0.0333716   0.00876042   0.00938127    0.0305095
      1.42414    0.0326960   0.00859758   0.00918364    0.0299712
      1.43393    0.0320784   0.00843474   0.00899078    0.0294328
      1.44372    0.0314607   0.00828462   0.00881080    0.0289288
      1.45351    0.0308431   0.00813680   0.00863083    0.0284309
      1.46330    0.0302400   0.00798898   0.00845086    0.0279330
      1.47309    0.0296788   0.00784116   0.00827597    0.0274351
      1.48288    0.0291176   0.00770498   0.00810970    0.0269372
      1.49267    0.0285564   0.00756974   0.00794343    0.0264437
      1.50246    0.0280265   0.00743450   0.00777716    0.0259838
      1.51225    0.0275130   0.00729925   0.00761089    0.0255239
      1.52204    0.0269995   0.00716401   0.00745464    0.0250859
      1.53183    0.0264861   0.00702877   0.00730109    0.0246957
      1.54162    0.0260140   0.00690189   0.00714754    0.0243056
      1.55141    0.0255478   0.00677619   0.00699399    0.0239154
      1.56120    0.0250816   0.00665049   0.00684506    0.0235252
      1.57099    0.0246154   0.00652480   0.00670256    0.0231350
      1.58078    0.0241875   0.00639910   0.00656006    0.0227557
      1.59057    0.0237637   0.00627652   0.00641757    0.0223930
      1.60036    0.0233398   0.00615942   0.00627826    0.0220303
      1.61015    0.0229160   0.00604231   0.00614576    0.0216676
      1.61994    0.0225228   0.00592521   0.00601326    0.0213049
      1.62973    0.0221412   0.00580810   0.00588076    0.0209422
      1.63952    0.0217595   0.00569103   0.00574830    0.0205936
      1.64931    0.0213779   0.00558140   0.00562531    0.0202562
      1.65910    0.0210076   0.00547177   0.00550233    0.0199189
      1.66889    0.0206607   0.00536214   0.00537934    0.0195816
      1.67868    0.0203138   0.00525250   0.00525636    0.0192442
      1.68847    0.0199668   0.00514287   0.00513719    0.0189069
      1.69826    0.0196291   0.00503918   0.00502261    0.0185761
      1.70805    0.0193152   0.00493638   0.00490802    0.0182621
      1.71784    0.0190012   0.00483359   0.00479344    0.0179481
      1.72763    0.0186873   0.00473079   0.00468082    0.0176341
      1.73742    0.0183734   0.00462800   0.00457360    0.0173201
      1.74721    0.0180722   0.00452775   0.00446637    0.0170062
      1.75700    0.0177896   0.00443120   0.00435915    0.0166944
      1.76679    0.0175069   0.00433464   0.00425193    0.0163954
      1.77658    0.0172243   0.00423809   0.00415074    0.0161060
      1.78637    0.0169417   0.00414154   0.00405046    0.0158498
      1.79616    0.0166662   0.00404635   0.00395017    0.0155935
      1.80595    0.0164113   0.00395510   0.00384989    0.0153373
      1.81574    0.0161565   0.00386385   0.00375109    0.0150810
      1.82553    0.0159017   0.00377261   0.00365680    0.0148248
      1.83532    0.0156468   0.00368136   0.00356252    0.0145717
